#: table_doi: 10.17182/hepdata.59366.v1/t1
#: name: Table 1
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI+, K+ and P)  and  at a centre-of-mass energy of 900 GeV.

#: data_file: Table1.yaml
#: keyword reactions: P P --> PI+ X | P P --> K+ X | P P --> P X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 900.0
#: ABS(YRAP),< 1
#: RE,P P --> PI+ X
#: SQRT(S) [GeV],900.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
1.175,0.1933,0.0017,-0.0017,0.0089,-0.0089,3.0%,-3.0%
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> K+ X
#: SQRT(S) [GeV],900.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,0.2516,0.0006,-0.0006,0.0109,-0.0109,3.0%,-3.0%
0.275,0.2796,0.0006,-0.0006,0.0084,-0.0084,3.0%,-3.0%
0.325,0.291,0.0006,-0.0006,0.0074,-0.0074,3.0%,-3.0%
0.375,0.2921,0.0006,-0.0006,0.0065,-0.0065,3.0%,-3.0%
0.425,0.2828,0.0005,-0.0005,0.0061,-0.0061,3.0%,-3.0%
0.475,0.265,0.0005,-0.0005,0.0057,-0.0057,3.0%,-3.0%
0.525,0.249,0.0005,-0.0005,0.0056,-0.0056,3.0%,-3.0%
0.575,0.2283,0.0005,-0.0005,0.0053,-0.0053,3.0%,-3.0%
0.625,0.2085,0.0005,-0.0005,0.005,-0.005,3.0%,-3.0%
0.675,0.1914,0.0005,-0.0005,0.0049,-0.0049,3.0%,-3.0%
0.725,0.1747,0.0005,-0.0005,0.0046,-0.0046,3.0%,-3.0%
0.775,0.1565,0.0005,-0.0005,0.0045,-0.0045,3.0%,-3.0%
0.825,0.1367,0.0006,-0.0006,0.0045,-0.0045,3.0%,-3.0%
0.875,0.1217,0.0006,-0.0006,0.0048,-0.0048,3.0%,-3.0%
0.925,0.1095,0.0006,-0.0006,0.0059,-0.0059,3.0%,-3.0%
0.975,0.1001,0.0008,-0.0008,0.0067,-0.0067,3.0%,-3.0%
1.025,0.09162,0.00109,-0.00109,0.00754,-0.00754,3.0%,-3.0%
1.075,-,0,0,0,0,0,0
1.125,-,0,0,0,0,0,0
1.175,-,0,0,0,0,0,0
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> P X
#: SQRT(S) [GeV],900.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,-,0,0,0,0,0,0
0.275,-,0,0,0,0,0,0
0.325,-,0,0,0,0,0,0
0.375,0.09676,0.00032,-0.00032,0.00341,-0.00341,3.0%,-3.0%
0.425,0.1055,0.0003,-0.0003,0.0034,-0.0034,3.0%,-3.0%
0.475,0.1096,0.0003,-0.0003,0.0033,-0.0033,3.0%,-3.0%
0.525,0.1072,0.0003,-0.0003,0.0031,-0.0031,3.0%,-3.0%
0.575,0.1033,0.0003,-0.0003,0.0029,-0.0029,3.0%,-3.0%
0.625,0.101,0.0003,-0.0003,0.0028,-0.0028,3.0%,-3.0%
0.675,0.09697,0.0003,-0.0003,0.00268,-0.00268,3.0%,-3.0%
0.725,0.09037,0.00029,-0.00029,0.0025,-0.0025,3.0%,-3.0%
0.775,0.08391,0.00028,-0.00028,0.00233,-0.00233,3.0%,-3.0%
0.825,0.07905,0.00028,-0.00028,0.00212,-0.00212,3.0%,-3.0%
0.875,0.072,0.00027,-0.00027,0.00199,-0.00199,3.0%,-3.0%
0.925,0.0656,0.00026,-0.00026,0.00178,-0.00178,3.0%,-3.0%
0.975,0.06163,0.00026,-0.00026,0.00172,-0.00172,3.0%,-3.0%
1.025,0.05527,0.00025,-0.00025,0.00152,-0.00152,3.0%,-3.0%
1.075,0.05078,0.00025,-0.00025,0.00135,-0.00135,3.0%,-3.0%
1.125,0.04549,0.00023,-0.00023,0.00133,-0.00133,3.0%,-3.0%
1.175,0.04137,0.00024,-0.00024,0.00124,-0.00124,3.0%,-3.0%
1.225,0.0384,0.00024,-0.00024,0.00109,-0.00109,3.0%,-3.0%
1.275,0.03431,0.00023,-0.00023,0.00099,-0.00099,3.0%,-3.0%
1.325,0.03243,0.00024,-0.00024,0.00095,-0.00095,3.0%,-3.0%
1.375,0.02785,0.00025,-0.00025,0.00093,-0.00093,3.0%,-3.0%
1.425,0.02495,0.00024,-0.00024,0.00091,-0.00091,3.0%,-3.0%
1.475,0.02248,0.00023,-0.00023,0.00086,-0.00086,3.0%,-3.0%
1.525,0.02022,0.00024,-0.00024,0.00077,-0.00077,3.0%,-3.0%
1.575,0.01988,0.00033,-0.00033,0.00097,-0.00097,3.0%,-3.0%
1.625,0.01684,0.00032,-0.00032,0.00095,-0.00095,3.0%,-3.0%
1.675,0.01599,0.00042,-0.00042,0.00104,-0.00104,3.0%,-3.0%

