#: table_doi: 10.17182/hepdata.59366.v1/t6
#: name: Table 6
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI-, K- and PBAR)  and  at a centre-of-mass energy of 7000 GeV.

#: data_file: Table6.yaml
#: keyword reactions: P P --> PI- X | P P --> K- X | P P --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 7000.0
#: ABS(YRAP),< 1
#: RE,P P --> PI- X
#: SQRT(S) [GeV],7000.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.675,0.1407,0.0005,-0.0005,0.0037,-0.0037,3.0%,-3.0%
0.725,0.1322,0.0005,-0.0005,0.0035,-0.0035,3.0%,-3.0%
0.775,0.1239,0.0004,-0.0004,0.0033,-0.0033,3.0%,-3.0%
0.825,0.1202,0.0004,-0.0004,0.0032,-0.0032,3.0%,-3.0%
0.875,0.113,0.0004,-0.0004,0.0029,-0.0029,3.0%,-3.0%
0.925,0.107,0.0004,-0.0004,0.0027,-0.0027,3.0%,-3.0%
0.975,0.09829,0.00042,-0.00042,0.00257,-0.00257,3.0%,-3.0%
1.025,0.09211,0.00041,-0.00041,0.00242,-0.00242,3.0%,-3.0%
1.075,0.08876,0.00042,-0.00042,0.00226,-0.00226,3.0%,-3.0%
1.125,0.08007,0.0004,-0.0004,0.00207,-0.00207,3.0%,-3.0%
1.175,0.07397,0.00041,-0.00041,0.00192,-0.00192,3.0%,-3.0%
1.225,0.07192,0.00042,-0.00042,0.00195,-0.00195,3.0%,-3.0%
1.275,0.06639,0.00042,-0.00042,0.00189,-0.00189,3.0%,-3.0%
1.325,0.06326,0.00044,-0.00044,0.00172,-0.00172,3.0%,-3.0%
1.375,0.05792,0.00043,-0.00043,0.00176,-0.00176,3.0%,-3.0%
1.425,0.05589,0.00046,-0.00046,0.00189,-0.00189,3.0%,-3.0%
1.475,0.04954,0.00048,-0.00048,0.00197,-0.00197,3.0%,-3.0%
1.525,0.04394,0.00051,-0.00051,0.00199,-0.00199,3.0%,-3.0%
1.575,0.04036,0.00057,-0.00057,0.00219,-0.00219,3.0%,-3.0%
1.625,0.03799,0.00061,-0.00061,0.0023,-0.0023,3.0%,-3.0%
1.675,0.03534,0.00079,-0.00079,0.00214,-0.00214,3.0%,-3.0%

