#: table_doi: 10.17182/hepdata.59366.v1/t3
#: name: Table 3
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI+, K+ and P)  and  at a centre-of-mass energy of 2760 GeV.

#: data_file: Table3.yaml
#: keyword reactions: P P --> PI+ X | P P --> K+ X | P P --> P X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 2760.0
#: ABS(YRAP),< 1
#: RE,P P --> PI+ X
#: SQRT(S) [GeV],2760.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.725,0.2287,0.0007,-0.0007,0.006,-0.006,3.0%,-3.0%
0.775,0.21,0.0007,-0.0007,0.006,-0.006,3.0%,-3.0%
0.825,0.1881,0.0007,-0.0007,0.0064,-0.0064,3.0%,-3.0%
0.875,0.1722,0.0008,-0.0008,0.007,-0.007,3.0%,-3.0%
0.925,0.1525,0.0009,-0.0009,0.0083,-0.0083,3.0%,-3.0%
0.975,0.1364,0.0011,-0.0011,0.0092,-0.0092,3.0%,-3.0%
1.025,0.1145,0.0014,-0.0014,0.0098,-0.0098,3.0%,-3.0%
1.075,-,0,0,0,0,0,0
1.125,-,0,0,0,0,0,0
1.175,-,0,0,0,0,0,0
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> P X
#: SQRT(S) [GeV],2760.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,-,0,0,0,0,0,0
0.275,-,0,0,0,0,0,0
0.325,-,0,0,0,0,0,0
0.375,0.1092,0.0004,-0.0004,0.0038,-0.0038,3.0%,-3.0%
0.425,0.1193,0.0004,-0.0004,0.0039,-0.0039,3.0%,-3.0%
0.475,0.1255,0.0004,-0.0004,0.0038,-0.0038,3.0%,-3.0%
0.525,0.127,0.0004,-0.0004,0.0035,-0.0035,3.0%,-3.0%
0.575,0.1256,0.0004,-0.0004,0.0034,-0.0034,3.0%,-3.0%
0.625,0.1195,0.0004,-0.0004,0.0031,-0.0031,3.0%,-3.0%
0.675,0.1193,0.0004,-0.0004,0.0032,-0.0032,3.0%,-3.0%
0.725,0.1079,0.0004,-0.0004,0.0029,-0.0029,3.0%,-3.0%
0.775,0.106,0.0004,-0.0004,0.0028,-0.0028,3.0%,-3.0%
0.825,0.09932,0.00036,-0.00036,0.00267,-0.00267,3.0%,-3.0%
0.875,0.09228,0.00035,-0.00035,0.00248,-0.00248,3.0%,-3.0%
0.925,0.08445,0.00034,-0.00034,0.00225,-0.00225,3.0%,-3.0%
0.975,0.07722,0.00034,-0.00034,0.00201,-0.00201,3.0%,-3.0%
1.025,0.07035,0.00033,-0.00033,0.00186,-0.00186,3.0%,-3.0%
1.075,0.06924,0.00033,-0.00033,0.0018,-0.0018,3.0%,-3.0%
1.125,0.06088,0.00032,-0.00032,0.00161,-0.00161,3.0%,-3.0%
1.175,0.05764,0.00033,-0.00033,0.0015,-0.0015,3.0%,-3.0%
1.225,0.05242,0.00032,-0.00032,0.00151,-0.00151,3.0%,-3.0%
1.275,0.04777,0.00032,-0.00032,0.00138,-0.00138,3.0%,-3.0%
1.325,0.04669,0.00034,-0.00034,0.00135,-0.00135,3.0%,-3.0%
1.375,0.04087,0.00032,-0.00032,0.00126,-0.00126,3.0%,-3.0%
1.425,0.03728,0.00034,-0.00034,0.00124,-0.00124,3.0%,-3.0%
1.475,0.03725,0.00035,-0.00035,0.00136,-0.00136,3.0%,-3.0%
1.525,0.02899,0.00034,-0.00034,0.00119,-0.00119,3.0%,-3.0%
1.575,0.03025,0.00042,-0.00042,0.00124,-0.00124,3.0%,-3.0%
1.625,0.02485,0.00044,-0.00044,0.00154,-0.00154,3.0%,-3.0%
1.675,0.02501,0.00059,-0.00059,0.00133,-0.00133,3.0%,-3.0%

