#: table_doi: 10.17182/hepdata.57568.v1/t1
#: name: Table 1
#: description: Transverse momentum spectra for positive and negative pions.

#: data_file: Table1.yaml
#: keyword reactions: P P --> PI+ X | P P --> PI- X
#: keyword observables: D2SIG/DPT/DYRAP
#: keyword phrases: Inclusive | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 900.0
#: RE,,,P P --> PI+ X
#: SQRT(S) [GeV],,,900.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/NEV)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
1.05,1.0,1.1,0.206977,0.00385,-0.00385,0.007001,-0.007001,3.6%,-3.6%
1.15,1.1,1.2,0.143769,0.003184,-0.003184,0.004977,-0.004977,3.6%,-3.6%
1.25,1.2,1.3,0.109963,0.002797,-0.002797,0.003897,-0.003897,3.6%,-3.6%
1.35,1.3,1.4,0.083156,0.002437,-0.002437,0.00304,-0.00304,3.6%,-3.6%
1.45,1.4,1.5,0.065611,0.002176,-0.002176,0.002433,-0.002433,3.6%,-3.6%
1.55,1.5,1.6,0.047197,0.001843,-0.001843,0.001784,-0.001784,3.6%,-3.6%
1.65,1.6,1.7,0.037742,0.001662,-0.001662,0.001482,-0.001482,3.6%,-3.6%
1.75,1.7,1.8,0.030838,0.001514,-0.001514,0.001231,-0.001231,3.6%,-3.6%
1.9,1.8,2.0,0.021651,0.000897,-0.000897,0.000888,-0.000888,3.6%,-3.6%
2.1,2.0,2.2,0.012858,0.00068,-0.00068,0.000557,-0.000557,3.6%,-3.6%
2.3,2.2,2.4,0.008694,0.000569,-0.000569,0.000385,-0.000385,3.6%,-3.6%
2.5,2.4,2.6,0.006367,0.00049,-0.00049,0.000293,-0.000293,3.6%,-3.6%

#: RE,,,P P --> PI- X
#: SQRT(S) [GeV],,,900.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/NEV)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.11,0.1,0.12,2.664472,0.034388,-0.034388,0.361721,-0.361721,3.6%,-3.6%
0.13,0.12,0.14,2.790213,0.031276,-0.031276,0.094854,-0.094854,3.6%,-3.6%
0.15000000000000002,0.14,0.16,2.976358,0.031371,-0.031371,0.087912,-0.087912,3.6%,-3.6%
0.16999999999999998,0.16,0.18,3.066082,0.029964,-0.029964,0.070138,-0.070138,3.6%,-3.6%
0.19,0.18,0.2,3.026797,0.029549,-0.029549,0.072816,-0.072816,3.6%,-3.6%
0.225,0.2,0.25,2.950636,0.020477,-0.020477,0.059373,-0.059373,3.6%,-3.6%
0.275,0.25,0.3,2.668285,0.018907,-0.018907,0.056005,-0.056005,3.6%,-3.6%
0.32499999999999996,0.3,0.35,2.343535,0.01754,-0.01754,0.047364,-0.047364,3.6%,-3.6%
0.375,0.35,0.4,1.998761,0.015626,-0.015626,0.041263,-0.041263,3.6%,-3.6%
0.42500000000000004,0.4,0.45,1.716659,0.014267,-0.014267,0.033914,-0.033914,3.6%,-3.6%
0.475,0.45,0.5,1.436463,0.01317,-0.01317,0.029768,-0.029768,3.6%,-3.6%
0.525,0.5,0.55,1.221818,0.012069,-0.012069,0.021121,-0.021121,3.6%,-3.6%
0.575,0.55,0.6,1.024817,0.011089,-0.011089,0.018372,-0.018372,3.6%,-3.6%
0.625,0.6,0.65,0.81446,0.009505,-0.009505,0.014214,-0.014214,3.6%,-3.6%
0.675,0.65,0.7,0.69469,0.010239,-0.010239,0.023628,-0.023628,3.6%,-3.6%
0.725,0.7,0.75,0.595425,0.009452,-0.009452,0.020205,-0.020205,3.6%,-3.6%
0.775,0.75,0.8,0.513817,0.008735,-0.008735,0.017292,-0.017292,3.6%,-3.6%
0.825,0.8,0.85,0.410521,0.007768,-0.007768,0.013744,-0.013744,3.6%,-3.6%
0.875,0.85,0.9,0.346321,0.007097,-0.007097,0.011479,-0.011479,3.6%,-3.6%
0.925,0.9,0.95,0.308068,0.006716,-0.006716,0.010148,-0.010148,3.6%,-3.6%
0.975,0.95,1.0,0.256686,0.006117,-0.006117,0.008487,-0.008487,3.6%,-3.6%
1.05,1.0,1.1,0.198254,0.00378,-0.00378,0.006695,-0.006695,3.6%,-3.6%
1.15,1.1,1.2,0.143069,0.003204,-0.003204,0.004908,-0.004908,3.6%,-3.6%
1.25,1.2,1.3,0.110292,0.002812,-0.002812,0.003895,-0.003895,3.6%,-3.6%
1.35,1.3,1.4,0.083025,0.002439,-0.002439,0.002985,-0.002985,3.6%,-3.6%
1.45,1.4,1.5,0.060515,0.002088,-0.002088,0.002261,-0.002261,3.6%,-3.6%
1.55,1.5,1.6,0.046562,0.001829,-0.001829,0.001767,-0.001767,3.6%,-3.6%
1.65,1.6,1.7,0.036817,0.001643,-0.001643,0.00144,-0.00144,3.6%,-3.6%
1.75,1.7,1.8,0.028274,0.001451,-0.001451,0.001115,-0.001115,3.6%,-3.6%
1.9,1.8,2.0,0.020431,0.000866,-0.000866,0.000836,-0.000836,3.6%,-3.6%
2.1,2.0,2.2,0.012429,0.000674,-0.000674,0.000529,-0.000529,3.6%,-3.6%
2.3,2.2,2.4,0.008739,0.000564,-0.000564,0.000385,-0.000385,3.6%,-3.6%
2.5,2.4,2.6,0.005992,0.000475,-0.000475,0.000281,-0.000281,3.6%,-3.6%

