#: table_doi: 10.17182/hepdata.59366.v1/t5
#: name: Table 5
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI+, K+ and P)  and  at a centre-of-mass energy of 7000 GeV.

#: data_file: Table5.yaml
#: keyword reactions: P P --> PI+ X | P P --> K+ X | P P --> P X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 7000.0
#: ABS(YRAP),< 1
#: RE,P P --> PI+ X
#: SQRT(S) [GeV],7000.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,0.3425,0.0009,-0.0009,0.0154,-0.0154,3.0%,-3.0%
0.275,0.3862,0.0009,-0.0009,0.0116,-0.0116,3.0%,-3.0%
0.325,0.4136,0.0008,-0.0008,0.0105,-0.0105,3.0%,-3.0%
0.375,0.4177,0.0008,-0.0008,0.0093,-0.0093,3.0%,-3.0%
0.425,0.4112,0.0008,-0.0008,0.0088,-0.0088,3.0%,-3.0%
0.475,0.3973,0.0008,-0.0008,0.0087,-0.0087,3.0%,-3.0%
0.525,0.3784,0.0008,-0.0008,0.0086,-0.0086,3.0%,-3.0%
0.575,0.3574,0.0008,-0.0008,0.0084,-0.0084,3.0%,-3.0%
0.625,0.3351,0.0008,-0.0008,0.0081,-0.0081,3.0%,-3.0%
0.675,0.3138,0.0008,-0.0008,0.0081,-0.0081,3.0%,-3.0%
0.725,0.2905,0.0009,-0.0009,0.0079,-0.0079,3.0%,-3.0%
0.775,0.2667,0.0009,-0.0009,0.0081,-0.0081,3.0%,-3.0%
0.825,0.2394,0.0009,-0.0009,0.0085,-0.0085,3.0%,-3.0%
0.875,0.2176,0.001,-0.001,0.0092,-0.0092,3.0%,-3.0%
0.925,0.1938,0.0011,-0.0011,0.0111,-0.0111,3.0%,-3.0%
0.975,0.176,0.0014,-0.0014,0.013,-0.013,3.0%,-3.0%
1.025,0.1542,0.0019,-0.0019,0.0142,-0.0142,3.0%,-3.0%
1.075,-,0,0,0,0,0,0
1.125,-,0,0,0,0,0,0
1.175,-,0,0,0,0,0,0
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> P X
#: SQRT(S) [GeV],7000.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,-,0,0,0,0,0,0
0.275,-,0,0,0,0,0,0
0.325,-,0,0,0,0,0,0
0.375,0.1271,0.0004,-0.0004,0.0045,-0.0045,3.0%,-3.0%
0.425,0.1334,0.0004,-0.0004,0.0043,-0.0043,3.0%,-3.0%
0.475,0.144,0.0005,-0.0005,0.0043,-0.0043,3.0%,-3.0%
0.525,0.1481,0.0005,-0.0005,0.0042,-0.0042,3.0%,-3.0%
0.575,0.1438,0.0005,-0.0005,0.004,-0.004,3.0%,-3.0%
0.625,0.1423,0.0004,-0.0004,0.0038,-0.0038,3.0%,-3.0%
0.675,0.139,0.0005,-0.0005,0.0036,-0.0036,3.0%,-3.0%
0.725,0.1359,0.0004,-0.0004,0.0035,-0.0035,3.0%,-3.0%
0.775,0.1253,0.0004,-0.0004,0.0033,-0.0033,3.0%,-3.0%
0.825,0.1198,0.0004,-0.0004,0.0031,-0.0031,3.0%,-3.0%
0.875,0.1128,0.0004,-0.0004,0.003,-0.003,3.0%,-3.0%
0.925,0.1058,0.0004,-0.0004,0.0027,-0.0027,3.0%,-3.0%
0.975,0.1005,0.0004,-0.0004,0.0026,-0.0026,3.0%,-3.0%
1.025,0.0923,0.00041,-0.00041,0.00244,-0.00244,3.0%,-3.0%
1.075,0.08915,0.00041,-0.00041,0.00228,-0.00228,3.0%,-3.0%
1.125,0.08083,0.0004,-0.0004,0.00218,-0.00218,3.0%,-3.0%
1.175,0.07594,0.00041,-0.00041,0.00204,-0.00204,3.0%,-3.0%
1.225,0.07141,0.00041,-0.00041,0.00198,-0.00198,3.0%,-3.0%
1.275,0.06651,0.00041,-0.00041,0.0019,-0.0019,3.0%,-3.0%
1.325,0.06209,0.00042,-0.00042,0.00182,-0.00182,3.0%,-3.0%
1.375,0.05958,0.00043,-0.00043,0.00199,-0.00199,3.0%,-3.0%
1.425,0.0535,0.00045,-0.00045,0.00191,-0.00191,3.0%,-3.0%
1.475,0.04936,0.00045,-0.00045,0.002,-0.002,3.0%,-3.0%
1.525,0.0468,0.00049,-0.00049,0.00202,-0.00202,3.0%,-3.0%
1.575,0.03951,0.00055,-0.00055,0.00174,-0.00174,3.0%,-3.0%
1.625,0.03924,0.00064,-0.00064,0.0021,-0.0021,3.0%,-3.0%
1.675,0.03531,0.00082,-0.00082,0.00233,-0.00233,3.0%,-3.0%

