#: table_doi: 10.17182/hepdata.59366.v1/t2
#: name: Table 2
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI-, K- and PBAR)  and  at a centre-of-mass energy of 900 GeV.

#: data_file: Table2.yaml
#: keyword reactions: P P --> PI- X | P P --> K- X | P P --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 900.0
#: ABS(YRAP),< 1
#: RE,P P --> PI- X
#: SQRT(S) [GeV],900.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.725,0.1704,0.0005,-0.0005,0.0045,-0.0045,3.0%,-3.0%
0.775,0.1534,0.0005,-0.0005,0.0044,-0.0044,3.0%,-3.0%
0.825,0.1364,0.0006,-0.0006,0.0046,-0.0046,3.0%,-3.0%
0.875,0.123,0.0006,-0.0006,0.0048,-0.0048,3.0%,-3.0%
0.925,0.1085,0.0006,-0.0006,0.0057,-0.0057,3.0%,-3.0%
0.975,0.1017,0.0008,-0.0008,0.0063,-0.0063,3.0%,-3.0%
1.025,0.08509,0.00104,-0.00104,0.00644,-0.00644,3.0%,-3.0%
1.075,-,0,0,0,0,0,0
1.125,-,0,0,0,0,0,0
1.175,-,0,0,0,0,0,0
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> PBAR X
#: SQRT(S) [GeV],900.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,-,0,0,0,0,0,0
0.275,-,0,0,0,0,0,0
0.325,-,0,0,0,0,0,0
0.375,0.09435,0.00034,-0.00034,0.0035,-0.0035,3.0%,-3.0%
0.425,0.09867,0.00034,-0.00034,0.00311,-0.00311,3.0%,-3.0%
0.475,0.1022,0.0003,-0.0003,0.0031,-0.0031,3.0%,-3.0%
0.525,0.1033,0.0003,-0.0003,0.003,-0.003,3.0%,-3.0%
0.575,0.1007,0.0003,-0.0003,0.0029,-0.0029,3.0%,-3.0%
0.625,0.09722,0.00031,-0.00031,0.00269,-0.00269,3.0%,-3.0%
0.675,0.09404,0.00031,-0.00031,0.00259,-0.00259,3.0%,-3.0%
0.725,0.08495,0.00029,-0.00029,0.00239,-0.00239,3.0%,-3.0%
0.775,0.08016,0.00028,-0.00028,0.00218,-0.00218,3.0%,-3.0%
0.825,0.07274,0.00027,-0.00027,0.00203,-0.00203,3.0%,-3.0%
0.875,0.06893,0.00027,-0.00027,0.00194,-0.00194,3.0%,-3.0%
0.925,0.06256,0.00026,-0.00026,0.00175,-0.00175,3.0%,-3.0%
0.975,0.05746,0.00025,-0.00025,0.00164,-0.00164,3.0%,-3.0%
1.025,0.05163,0.00025,-0.00025,0.00143,-0.00143,3.0%,-3.0%
1.075,0.04472,0.00023,-0.00023,0.00125,-0.00125,3.0%,-3.0%
1.125,0.04414,0.00024,-0.00024,0.00123,-0.00123,3.0%,-3.0%
1.175,0.03881,0.00024,-0.00024,0.00108,-0.00108,3.0%,-3.0%
1.225,0.03589,0.00023,-0.00023,0.00099,-0.00099,3.0%,-3.0%
1.275,0.03239,0.00023,-0.00023,0.00098,-0.00098,3.0%,-3.0%
1.325,0.02933,0.00024,-0.00024,0.00085,-0.00085,3.0%,-3.0%
1.375,0.02729,0.00023,-0.00023,0.00092,-0.00092,3.0%,-3.0%
1.425,0.02279,0.00023,-0.00023,0.00079,-0.00079,3.0%,-3.0%
1.475,0.01994,0.00022,-0.00022,0.0008,-0.0008,3.0%,-3.0%
1.525,0.02005,0.00025,-0.00025,0.00081,-0.00081,3.0%,-3.0%
1.575,0.01843,0.00032,-0.00032,0.00078,-0.00078,3.0%,-3.0%
1.625,0.01699,0.00034,-0.00034,0.0009,-0.0009,3.0%,-3.0%
1.675,0.01362,0.00038,-0.00038,0.00084,-0.00084,3.0%,-3.0%

